IncAVGArray_RecastBuildCompressedLayers,			IncMAXArray_RecastBuildCompressedLayers,			IncAVGArray_RecastBuildNavigation,			IncMAXArray_RecastBuildNavigation,			IncAVGArray_Navigation_TickAsyncBuild,			IncMAXArray_Navigation_TickAsyncBuild,			IncAVGArray_Navigation_TickMarkDirty,			IncMAXArray_Navigation_TickMarkDirty,			IncAVGArray_DebugNavOctree,			IncMAXArray_DebugNavOctree,			IncAVGArray_AddingActorsToNavOctree, 			IncMAXArray_AddingActorsToNavOctree
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
0.0482,2.8901,0.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0,0.0,0.0003,0.0177
0.0,0.0,0.0071,0.4249,0.0052,0.066,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0042,0.0084,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0041,0.0075,0.0004,0.0007,0.0,0.0,0.0,0.0

0.0482,2.89010.0256,1.1095,0.0059,0.066,0.0005,0.0091,0.0001,0.0074,0.0003,0.0177
Final Value
AVG: 0.0806ms 	MAX: 4.0998ms
